im2graph version 1.21 Copyright Shai Vaingast 2014-, http://www.im2graph.co.il

X, Y_0
6.80205, 0.181481
6.80499, 0.188889
6.80792, 0.181481
6.81085, 0.174074
6.81378, 0.174074
6.81672, 0.174074
6.81965, 0.181481
6.82258, 0.188889
6.82551, 0.196296
6.82845, 0.203704
6.83138, 0.211111
6.83431, 0.211111
6.83724, 0.203704
6.84018, 0.196296
6.84311, 0.181481
6.84604, 0.181481
6.84897, 0.188889
6.85191, 0.196296
6.85484, 0.196296
6.85777, 0.196296
6.8607, 0.196296
6.86364, 0.211111
6.86657, 0.218519
6.8695, 0.218519
6.87243, 0.218519
6.87537, 0.218519
6.8783, 0.218519
6.88123, 0.225926
6.88416, 0.233333
6.8871, 0.233333
6.89003, 0.233333
6.89296, 0.233333
6.89589, 0.233333
6.89883, 0.233333
6.90176, 0.233333
6.90469, 0.233333
6.90762, 0.240741
6.91056, 0.240741
6.91349, 0.248148
6.91642, 0.248148
6.91935, 0.255556
6.92229, 0.255556
6.92522, 0.248148
6.92815, 0.262963
6.93109, 0.27037
6.93402, 0.277778
6.93695, 0.277778
6.93988, 0.27037
6.94282, 0.262963
6.94575, 0.262963
6.94868, 0.262963
6.95161, 0.27037
6.95455, 0.27037
6.95748, 0.277778
6.96041, 0.285185
6.96334, 0.3
6.96628, 0.307407
6.96921, 0.307407
6.97214, 0.307407
6.97507, 0.307407
6.97801, 0.314815
6.98094, 0.314815
6.98387, 0.314815
6.9868, 0.307407
6.98974, 0.314815
6.99267, 0.314815
6.9956, 0.314815
6.99853, 0.314815
7.00147, 0.322222
7.0044, 0.322222
7.00733, 0.322222
7.01026, 0.337037
7.0132, 0.344444
7.01613, 0.344444
7.01906, 0.344444
7.02199, 0.351852
7.02493, 0.351852
7.02786, 0.359259
7.03079, 0.359259
7.03372, 0.366667
7.03666, 0.366667
7.03959, 0.374074
7.04252, 0.381481
7.04545, 0.388889
7.04839, 0.388889
7.05132, 0.388889
7.05425, 0.388889
7.05718, 0.388889
7.06012, 0.388889
7.06305, 0.388889
7.06598, 0.396296
7.06891, 0.396296
7.07185, 0.396296
7.07478, 0.388889
7.07771, 0.396296
7.08065, 0.411111
7.08358, 0.425926
7.08651, 0.440741
7.08944, 0.448148
7.09238, 0.455556
7.09531, 0.462963
7.09824, 0.455556
7.10117, 0.448148
7.10411, 0.455556
7.10704, 0.455556
7.10997, 0.47037
7.1129, 0.477778
7.11584, 0.485185
7.11877, 0.492593
7.1217, 0.5
7.12463, 0.507407
7.12757, 0.507407
7.1305, 0.507407
7.13343, 0.514815
7.13636, 0.522222
7.1393, 0.52963
7.14223, 0.544444
7.14516, 0.551852
7.14809, 0.559259
7.15103, 0.566667
7.15396, 0.574074
7.15689, 0.581481
7.15982, 0.581481
7.16276, 0.588889
7.16569, 0.603704
7.16862, 0.611111
7.17155, 0.611111
7.17449, 0.625926
7.17742, 0.633333
7.18035, 0.640741
7.18328, 0.640741
7.18622, 0.648148
7.18915, 0.655556
7.19208, 0.67037
7.19501, 0.677778
7.19795, 0.692593
7.20088, 0.7
7.20381, 0.707407
7.20674, 0.714815
7.20968, 0.722222
7.21261, 0.737037
7.21554, 0.751852
7.21848, 0.766667
7.22141, 0.781481
7.22434, 0.796296
7.22727, 0.811111
7.23021, 0.833333
7.23314, 0.840741
7.23607, 0.840741
7.239, 0.840741
7.24194, 0.848148
7.24487, 0.855556
7.2478, 0.87037
7.25073, 0.9
7.25367, 0.937037
7.2566, 0.959259
7.25953, 0.974074
7.26246, 0.981481
7.2654, 0.988889
7.26833, 0.988889
7.27126, 0.988889
7.27419, 1.0037
7.27713, 1.01852
7.28006, 1.04074
7.28299, 1.05556
7.28592, 1.07037
7.28886, 1.09259
7.29179, 1.11481
7.29472, 1.12963
7.29765, 1.15926
7.30059, 1.18889
7.30352, 1.21852
7.30645, 1.24815
7.30938, 1.27778
7.31232, 1.3
7.31525, 1.31481
7.31818, 1.32963
7.32111, 1.35926
7.32405, 1.38889
7.32698, 1.42593
7.32991, 1.44815
7.33284, 1.47037
7.33578, 1.5
7.33871, 1.53704
7.34164, 1.56667
7.34457, 1.5963
7.34751, 1.62593
7.35044, 1.65556
7.35337, 1.68519
7.3563, 1.71481
7.35924, 1.74444
7.36217, 1.77407
7.3651, 1.8037
7.36804, 1.84074
7.37097, 1.87778
7.3739, 1.91481
7.37683, 1.96667
7.37977, 2.02593
7.3827, 2.07037
