im2graph version 1.21 Copyright Shai Vaingast 2014-, http://www.im2graph.co.il

X, Y_0
-100.253, 0.592105
-99.7475, 0.595263
-99.2424, 0.596316
-98.7374, 0.596316
-98.2323, 0.596316
-97.7273, 0.598421
-97.2222, 0.59
-96.7172, 0.588947
-96.2121, 0.59
-95.7071, 0.592105
-95.202, 0.601579
-94.697, 0.599474
-94.1919, 0.598421
-93.6869, 0.597368
-93.1818, 0.596316
-92.6768, 0.595263
-92.1717, 0.595263
-91.6667, 0.595263
-91.1616, 0.595263
-90.6566, 0.594211
-90.1515, 0.596316
-89.6465, 0.596316
-89.1414, 0.597368
-88.6364, 0.598421
-88.1313, 0.598421
-87.6263, 0.595263
-87.1212, 0.595263
-86.6162, 0.596316
-86.1111, 0.597368
-85.6061, 0.598421
-85.101, 0.599474
-84.596, 0.598421
-84.0909, 0.597368
-83.5859, 0.594211
-83.0808, 0.59
-82.5758, 0.591053
-82.0707, 0.591053
-81.5657, 0.59
-81.0606, 0.592105
-80.5556, 0.593158
-80.0505, 0.594211
-79.5455, 0.593158
-79.0404, 0.591053
-78.5354, 0.591053
-78.0303, 0.59
-77.5253, 0.59
-77.0202, 0.586842
-76.5152, 0.591053
-76.0101, 0.593158
-75.5051, 0.594211
-75, 0.595263
-74.4949, 0.595263
-73.9899, 0.598421
-73.4848, 0.595263
-72.9798, 0.592105
-72.4747, 0.591053
-71.9697, 0.59
-71.4646, 0.592105
-70.9596, 0.593158
-70.4545, 0.596316
-69.9495, 0.593158
-69.4444, 0.59
-68.9394, 0.586842
-68.4343, 0.586842
-67.9293, 0.586842
-67.4242, 0.588947
-66.9192, 0.59
-66.4141, 0.591053
-65.9091, 0.591053
-65.404, 0.59
-64.899, 0.593158
-64.3939, 0.59
-63.8889, 0.587895
-63.3838, 0.586842
-62.8788, 0.59
-62.3737, 0.597368
-61.8687, 0.598421
-61.3636, 0.598421
-60.8586, 0.596316
-60.3535, 0.594211
-59.8485, 0.594211
-59.3434, 0.592105
-58.8384, 0.592105
-58.3333, 0.592105
-57.8283, 0.592105
-57.3232, 0.592105
-56.8182, 0.593158
-56.3131, 0.593158
-55.8081, 0.591053
-55.303, 0.591053
-54.798, 0.591053
-54.2929, 0.591053
-53.7879, 0.59
-53.2828, 0.591053
-52.7778, 0.595263
-52.2727, 0.596316
-51.7677, 0.595263
-51.2626, 0.593158
-50.7576, 0.592105
-50.2525, 0.592105
-49.7475, 0.592105
-49.2424, 0.594211
-48.7374, 0.594211
-48.2323, 0.594211
-47.7273, 0.593158
-47.2222, 0.592105
-46.7172, 0.59
-46.2121, 0.59
-45.7071, 0.588947
-45.202, 0.59
-44.697, 0.593158
-44.1919, 0.59
-43.6869, 0.588947
-43.1818, 0.586842
-42.6768, 0.585789
-42.1717, 0.584737
-41.6667, 0.583684
-41.1616, 0.583684
-40.6566, 0.583684
-40.1515, 0.583684
-39.6465, 0.585789
-39.1414, 0.584737
-38.6364, 0.584737
-38.1313, 0.584737
-37.6263, 0.584737
-37.1212, 0.583684
-36.6162, 0.585789
-36.1111, 0.586842
-35.6061, 0.587895
-35.101, 0.588947
-34.596, 0.588947
-34.0909, 0.591053
-33.5859, 0.588947
-33.0808, 0.59
-32.5758, 0.59
-32.0707, 0.59
-31.5657, 0.593158
-31.0606, 0.588947
-30.5556, 0.586842
-30.0505, 0.585789
-29.5455, 0.584737
-29.0404, 0.582632
-28.5354, 0.580526
-27.0202, 0.587895
-26.5152, 0.585789
-26.0101, 0.585789
-25.5051, 0.585789
-25, 0.584737
-24.4949, 0.587895
-23.9899, 0.587895
-23.4848, 0.587895
-22.9798, 0.586842
-22.4747, 0.586842
-21.9697, 0.587895
-21.4646, 0.588947
-20.9596, 0.59
-20.4545, 0.59
-19.9495, 0.593158
-19.4444, 0.592105
-18.9394, 0.592105
-18.4343, 0.592105
-17.9293, 0.592105
-17.4242, 0.591053
-16.9192, 0.588947
-16.4141, 0.587895
-15.9091, 0.586842
-15.404, 0.586842
-14.899, 0.591053
-14.3939, 0.592105
-13.8889, 0.592105
-13.3838, 0.588947
-12.8788, 0.585789
-12.3737, 0.586842
-11.8687, 0.587895
-11.3636, 0.587895
-10.8586, 0.593158
-10.3535, 0.594211
-9.84848, 0.594211
-9.34343, 0.592105
-8.83838, 0.59
-8.33333, 0.588947
-7.82828, 0.587895
-7.32323, 0.588947
-6.81818, 0.588947
-6.31313, 0.593158
