iC=1 iDev=1;iC=1 iDev=1
Ch2 - sec;Ch2 - Amps
0.074451;7.37255E-06
0.154574;6.99467E-06
0.355586;6.58653E-06
0.556311;6.38839E-06
0.755567;6.25535E-06
0.955583;6.16241E-06
1.156237;6.09559E-06
1.355789;6.03365E-06
1.556445;5.98754E-06
1.756662;5.94657E-06
1.956627;5.9119E-06
2.1574;5.87567E-06
2.35729;5.84515E-06
2.556937;5.828E-06
2.756639;5.80848E-06
2.956673;5.79437E-06
3.157417;5.77257E-06
3.357409;5.76092E-06
3.557135;5.742E-06
3.756942;5.72708E-06
3.957034;5.71623E-06
4.157492;5.70565E-06
4.35812;5.6837E-06
4.558478;5.68178E-06
4.759226;5.67003E-06
4.958786;5.66158E-06
5.158609;5.6484E-06
5.359359;5.64719E-06
5.559229;5.64406E-06
5.759713;5.63423E-06
5.959706;5.63304E-06
6.159597;5.63204E-06
6.359598;5.61938E-06
6.560092;5.61508E-06
6.75984;5.61438E-06
6.959782;5.60606E-06
7.160495;5.60326E-06
7.361194;5.60342E-06
7.561806;5.59784E-06
7.761737;5.59147E-06
7.961888;5.58977E-06
8.161848;5.59203E-06
8.361722;5.58731E-06
8.562555;5.59044E-06
8.76245;5.58364E-06
8.963601;5.57677E-06
9.164579;5.57533E-06
9.365462;5.57761E-06
9.565391;5.5804E-06
9.766203;5.57266E-06
9.965946;5.57095E-06
10.165806;5.57234E-06
10.365802;5.5683E-06
10.565664;5.5696E-06
10.765514;5.56581E-06
10.966262;5.56614E-06
11.166159;5.55784E-06
11.366139;5.55746E-06
11.565776;5.56414E-06
11.765501;5.56381E-06
11.966404;5.56078E-06
12.165981;5.55858E-06
12.365938;5.56293E-06
12.565744;5.56441E-06
12.765773;5.56016E-06
12.965624;5.56078E-06
13.166291;5.56005E-06
13.366774;5.55872E-06
13.567592;5.55896E-06
13.767391;5.56151E-06
13.966879;5.55892E-06
14.166881;5.5549E-06
14.366882;5.5547E-06
14.566457;5.55625E-06
14.767079;5.5592E-06
14.967731;5.55345E-06
15.167664;5.5546E-06
15.367867;5.55017E-06
15.568852;5.55214E-06
15.769094;5.55764E-06
15.969155;5.55886E-06
16.169293;5.56056E-06
16.369803;5.55647E-06
16.569647;5.55658E-06
16.7697;5.55603E-06
16.969845;5.56059E-06
17.169836;5.56275E-06
17.369842;5.5621E-06
17.56949;5.56386E-06
17.770745;5.56173E-06
17.970685;5.56435E-06
18.171311;5.56498E-06
18.371295;5.56046E-06
18.571848;5.55987E-06
18.77177;5.56306E-06
18.972306;5.56348E-06
19.172418;5.56372E-06
19.372377;5.56281E-06
19.572243;5.56374E-06
19.771861;5.56765E-06
19.971773;5.56522E-06
