iC=1 iDev=1;iC=1 iDev=1
Ch1 - sec;Ch1 - Amps
0.074451;1.766E-11
0.154574;1.126E-11
0.355586;6.56E-12
0.556311;5.39E-12
0.755567;4.62E-12
0.955583;3.89E-12
1.156237;3.37E-12
1.355789;3.08E-12
1.556445;2.97E-12
1.756662;3.03E-12
1.956627;2.85E-12
2.1574;2.8E-12
2.35729;2.37E-12
2.556937;2.3E-12
2.756639;2.41E-12
2.956673;2.34E-12
3.157417;2.42E-12
3.357409;2.3E-12
3.557135;2.1E-12
3.756942;2.34E-12
3.957034;2.17E-12
4.157492;2.37E-12
4.35812;2.15E-12
4.558478;2.06E-12
4.759226;1.92E-12
4.958786;1.96E-12
5.158609;1.85E-12
5.359359;2.32E-12
5.559229;2.57E-12
5.759713;2.21E-12
5.959706;2.22E-12
6.159597;1.7E-12
6.359598;2.37E-12
6.560092;1.74E-12
6.75984;2.08E-12
6.959782;2.14E-12
7.160495;1.57E-12
7.361194;1.9E-12
7.561806;2.27E-12
7.761737;1.98E-12
7.961888;1.68E-12
8.161848;1.72E-12
8.361722;1.97E-12
8.562555;1.81E-12
8.76245;1.48E-12
8.963601;1.72E-12
9.164579;1.86E-12
9.365462;1.56E-12
9.565391;1.85E-12
9.766203;1.64E-12
9.965946;1.54E-12
10.165806;1.88E-12
10.365802;1.79E-12
10.565664;1.72E-12
10.765514;1.92E-12
10.966262;1.64E-12
11.166159;1.86E-12
11.366139;1.53E-12
11.565776;1.65E-12
11.765501;1.75E-12
11.966404;1.96E-12
12.165981;1.82E-12
12.365938;1.66E-12
12.565744;2.07E-12
12.765773;1.55E-12
12.965624;1.7E-12
13.166291;1.3E-12
13.366774;1.85E-12
13.567592;1.38E-12
13.767391;1.93E-12
13.966879;2.09E-12
14.166881;1.76E-12
14.366882;1.93E-12
14.566457;1.58E-12
14.767079;1.71E-12
14.967731;1.65E-12
15.167664;1.52E-12
15.367867;1.61E-12
15.568852;1.74E-12
15.769094;1.92E-12
15.969155;1.6E-12
16.169293;1.97E-12
16.369803;1.84E-12
16.569647;1.44E-12
16.7697;1.74E-12
16.969845;1.76E-12
17.169836;1.61E-12
17.369842;1.94E-12
17.56949;1.8E-12
17.770745;1.56E-12
17.970685;1.28E-12
18.171311;1.77E-12
18.371295;1.46E-12
18.571848;1.6E-12
18.77177;1.31E-12
18.972306;1.42E-12
19.172418;1.65E-12
19.372377;1.67E-12
19.572243;1.43E-12
19.771861;1.31E-12
19.971773;1.44E-12
