iC=1 iDev=1;iC=1 iDev=1
Ch1 - Volts;Ch1 - Amps
-10.00001;-1.022E-11
-9.90001;4.78E-12
-9.80001;6.07E-12
-9.70001;7.08E-12
-9.60001;7.85E-12
-9.50001;8.69E-12
-9.40001;8.77E-12
-9.30001;9.31E-12
-9.20001;1.001E-11
-9.10001;1.025E-11
-9.00001;1.027E-11
-8.90001;1.035E-11
-8.80001;1.129E-11
-8.70001;1.174E-11
-8.60001;1.222E-11
-8.50001;1.23E-11
-8.40001;1.259E-11
-8.30001;1.296E-11
-8.20001;1.328E-11
-8.10001;1.337E-11
-8.00001;1.336E-11
-7.90001;1.36E-11
-7.80001;1.403E-11
-7.70001;-3.7E-13
-7.60001;1.342E-11
-7.50001;1.33E-11
-7.40001;1.401E-11
-7.30001;1.419E-11
-7.20001;1.455E-11
-7.10001;1.497E-11
-7.00001;1.454E-11
-6.90001;1.517E-11
-6.80001;1.514E-11
-6.70001;1.543E-11
-6.60001;1.535E-11
-6.50001;1.546E-11
-6.40001;1.512E-11
-6.30001;1.581E-11
-6.20001;1.607E-11
-6.10001;1.605E-11
-6.00001;1.581E-11
-5.90001;1.659E-11
-5.80001;1.687E-11
-5.70001;2.68E-12
-5.60001;1.579E-11
-5.50001;1.654E-11
-5.40001;1.646E-11
-5.30001;1.649E-11
-5.20001;1.698E-11
-5.10001;1.731E-11
-5.00001;1.739E-11
-4.90001;1.734E-11
-4.80001;1.718E-11
-4.70001;1.745E-11
-4.60001;1.796E-11
-4.50001;1.788E-11
-4.40001;1.753E-11
-4.30001;1.774E-11
-4.20001;1.821E-11
-4.10001;1.851E-11
-4.00001;1.836E-11
-3.90001;1.859E-11
-3.80001;1.826E-11
-3.70001;1.851E-11
-3.60001;5.03E-12
-3.50001;1.792E-11
-3.40001;1.822E-11
-3.30001;1.843E-11
-3.20001;1.901E-11
-3.10001;1.887E-11
-3.00001;1.856E-11
-2.90001;1.866E-11
-2.80001;1.846E-11
-2.70001;1.912E-11
-2.60001;1.883E-11
-2.50001;1.88E-11
-2.40001;1.914E-11
-2.30001;1.924E-11
-2.20001;1.931E-11
-2.10001;1.948E-11
-2.00001;1.919E-11
-1.90001;1.91E-11
-1.80001;1.966E-11
-1.70001;1.997E-11
-1.60001;1.96E-11
-1.50001;6.3E-12
-1.40001;1.924E-11
-1.30001;1.939E-11
-1.20001;1.961E-11
-1.10001;2.001E-11
-1.00001;2.014E-11
-0.90001;5.57E-12
-0.80001;9.04E-12
-0.70001;9.43E-12
-0.60001;9.71E-12
-0.50001;9.7E-12
-0.40001;9.88E-12
-0.30001;1.02E-11
-0.20001;1.048E-11
-0.10001;1.076E-11
-1E-05;1.097E-11
0.09999;1.16E-11
0.19999;1.204E-11
0.29999;1.298E-11
0.39999;9.9E-12
0.49999;1.581E-11
0.59999;1.66E-11
0.69999;1.611E-11
0.79999;1.614E-11
0.89999;1.602E-11
0.99999;8.87E-12
1.09999;1.418E-11
1.19999;1.545E-11
1.29999;1.533E-11
1.39999;1.577E-11
1.49999;1.592E-11
1.59999;1.606E-11
1.69999;1.636E-11
1.79999;1.645E-11
1.89999;1.65E-11
1.99999;1.66E-11
2.09999;1.649E-11
2.19999;1.015E-11
2.29999;1.512E-11
2.39999;1.614E-11
2.49999;1.584E-11
2.59999;1.554E-11
2.69999;1.594E-11
2.79999;1.567E-11
2.89999;1.546E-11
2.99999;1.479E-11
3.09999;1.494E-11
3.19999;9.07E-12
3.29999;1.358E-11
3.39999;1.451E-11
3.49999;1.449E-11
3.59999;1.446E-11
3.69999;1.439E-11
3.79999;1.448E-11
3.89999;1.477E-11
3.99999;8.76E-12
4.09999;1.332E-11
4.19999;1.425E-11
4.29999;1.443E-11
