iC=1 iDev=1;iC=1 iDev=1
Ch2 - sec;Ch2 - Amps
0.086908;3.374E-11
0.157271;3.359E-11
0.347652;3.135E-11
0.547566;3.149E-11
0.747774;3.03E-11
0.947506;2.992E-11
1.147764;3.04E-11
1.347708;3.078E-11
1.547549;3E-11
1.747848;3.048E-11
1.948698;3.049E-11
2.152483;2.992E-11
2.348611;2.98E-11
2.54885;3.036E-11
2.750005;2.968E-11
2.951056;2.997E-11
3.154639;3.071E-11
3.352347;3.067E-11
3.551937;2.991E-11
3.753299;3.041E-11
3.953143;3.061E-11
4.154609;3.002E-11
4.354562;3.025E-11
4.554887;3.127E-11
4.755202;3.041E-11
4.95555;3.023E-11
5.158461;3.004E-11
5.355024;3.006E-11
5.555781;2.972E-11
5.757279;3.042E-11
5.95767;2.99E-11
6.157424;2.961E-11
6.358047;3.014E-11
6.558366;3.035E-11
6.758173;2.962E-11
6.958537;3.013E-11
7.158238;3.005E-11
7.358497;2.979E-11
7.557902;2.986E-11
7.75878;3.001E-11
7.959451;2.982E-11
8.159814;2.936E-11
8.360053;3.001E-11
8.56138;2.977E-11
8.761414;2.999E-11
8.961372;2.978E-11
9.166269;3.023E-11
9.361368;2.977E-11
9.561364;2.997E-11
9.761506;3.021E-11
9.961352;3.014E-11
10.16835;2.99E-11
10.361831;3.027E-11
10.563305;2.991E-11
10.763136;3.013E-11
10.963864;3.008E-11
11.170114;3.007E-11
11.363857;2.997E-11
11.564794;3.029E-11
11.765235;3.005E-11
11.964973;2.975E-11
12.172204;2.959E-11
12.366006;3.013E-11
12.565792;3.007E-11
12.766909;3.004E-11
12.96767;3.043E-11
13.17416;3.029E-11
13.367678;2.988E-11
13.567037;3.008E-11
13.767721;3.026E-11
13.967428;2.982E-11
14.171937;2.989E-11
14.367701;3.006E-11
14.567044;2.985E-11
14.767763;2.986E-11
14.968531;3.027E-11
15.173836;3.043E-11
15.368507;3.045E-11
15.568124;3.042E-11
15.768417;3.03E-11
15.96858;2.968E-11
16.180526;2.926E-11
16.368483;3.035E-11
16.568755;2.932E-11
16.769791;2.98E-11
16.970219;2.962E-11
17.1778;2.953E-11
17.371349;2.928E-11
17.571392;2.962E-11
17.771361;2.982E-11
17.971326;2.97E-11
18.184162;2.92E-11
18.371362;2.901E-11
18.571304;2.953E-11
18.771351;2.957E-11
18.971351;2.935E-11
19.181544;2.942E-11
19.371693;2.991E-11
19.57191;2.984E-11
19.773189;2.958E-11
19.973079;2.997E-11
