iC=1 iDev=1;iC=1 iDev=1
Ch1 - sec;Ch1 - Amps
0.086529;3.62E-12
0.169132;2.59E-12
0.369668;1.76E-12
0.570574;1.71E-12
0.770479;1.44E-12
0.970419;1.45E-12
1.170593;1.53E-12
1.370671;1.36E-12
1.570467;1.22E-12
1.770705;1.29E-12
1.971679;1.1E-12
2.17157;1.13E-12
2.371308;1.55E-12
2.571325;1.37E-12
2.77142;1.98E-12
2.971412;1.4E-12
3.171326;1.41E-12
3.371311;1.94E-12
3.571407;1.45E-12
3.770787;1.36E-12
3.971364;1.43E-12
4.171372;1.4E-12
4.371065;1.42E-12
4.571242;1.37E-12
4.771168;1.55E-12
4.970839;1.59E-12
5.170789;1.47E-12
5.37166;1.69E-12
5.572521;1.56E-12
5.77253;1.65E-12
5.972449;1.73E-12
6.172144;1.7E-12
6.372092;1.69E-12
6.572256;1.3E-12
6.771984;1.64E-12
6.972687;1.61E-12
7.173975;1.73E-12
7.37399;1.81E-12
7.57502;1.63E-12
7.775626;1.43E-12
7.975443;1.65E-12
8.175121;1.34E-12
8.374983;1.88E-12
8.575565;1.65E-12
8.775459;1.6E-12
8.975686;1.68E-12
9.175457;1.51E-12
9.376081;1.65E-12
9.576032;1.76E-12
9.776087;1.53E-12
9.976319;1.9E-12
10.176038;1.62E-12
10.375824;1.56E-12
10.575795;1.59E-12
10.776049;1.55E-12
10.975768;1.58E-12
11.176515;1.54E-12
11.376439;1.41E-12
11.576204;1.6E-12
11.776205;1.64E-12
11.97625;1.89E-12
12.176412;1.27E-12
12.37701;1.64E-12
12.577418;1.54E-12
12.777441;1.55E-12
12.977156;1.51E-12
13.177286;1.75E-12
13.377637;1.85E-12
13.578235;1.54E-12
13.778367;1.64E-12
13.978467;2.13E-12
14.178617;1.41E-12
14.378733;1.67E-12
14.580376;1.82E-12
14.780652;1.49E-12
14.980383;1.66E-12
15.180432;1.58E-12
15.380586;1.59E-12
15.580884;1.8E-12
15.781645;1.44E-12
15.983084;1.71E-12
16.183349;1.64E-12
16.383926;1.92E-12
16.583949;2.05E-12
16.783943;1.42E-12
16.983931;1.64E-12
17.184978;1.43E-12
17.385557;2.06E-12
17.585504;1.75E-12
17.785212;1.81E-12
17.985074;1.63E-12
18.184947;1.8E-12
18.384942;1.79E-12
18.584977;1.9E-12
18.785548;1.72E-12
18.985284;1.59E-12
19.185256;1.74E-12
19.385122;1.58E-12
19.585002;1.64E-12
19.784945;1.73E-12
19.985618;1.54E-12
