iC=1 iDev=1;iC=1 iDev=1
Ch2 - Volts;Ch2 - Amps
-1E-05;4.38117E-09
0.1;3.59603E-07
0.2;6.78354E-07
0.3;9.50898E-07
0.4;1.15751E-06
0.5;1.34617E-06
0.6;1.5073E-06
0.7;1.63563E-06
0.8;1.75388E-06
0.9;1.83703E-06
1;1.9357E-06
1.1;2.0182E-06
1.2;2.07323E-06
1.3;2.14785E-06
1.4;2.19268E-06
1.5;2.24438E-06
1.6;2.27647E-06
1.7;2.32035E-06
1.8;2.3357E-06
1.9;2.36018E-06
2;2.38824E-06
2.1;2.40948E-06
2.2;2.38595E-06
2.3;2.40037E-06
2.4;2.41558E-06
2.5;2.44104E-06
2.6;2.4599E-06
2.7;2.45913E-06
2.8;2.47589E-06
2.9;2.48889E-06
3;2.49586E-06
3.1;2.50102E-06
3.2;2.5046E-06
3.3;2.50398E-06
3.4;2.51557E-06
3.5;2.52005E-06
3.6;2.52617E-06
3.7;2.53246E-06
3.8;2.54066E-06
3.9;2.54562E-06
4;2.54931E-06
4.1;2.54866E-06
4.2;2.54908E-06
4.3;2.55892E-06
4.4;2.56407E-06
4.5;2.56577E-06
4.6;2.5676E-06
4.7;2.57512E-06
4.8;2.57678E-06
4.9;2.57825E-06
5;2.58005E-06
5.1;2.58147E-06
5.2;2.58445E-06
5.3;2.58264E-06
5.4;2.58369E-06
5.5;2.5858E-06
5.6;2.58674E-06
5.7;2.59321E-06
5.8;2.5905E-06
5.9;2.5988E-06
6;2.59384E-06
6.1;2.59235E-06
6.2;2.58633E-06
6.3;2.59414E-06
6.4;2.59796E-06
6.5;2.59042E-06
6.6;2.59127E-06
6.7;2.58922E-06
6.8;2.59327E-06
6.9;2.59229E-06
7;2.59707E-06
7.1;2.60313E-06
7.2;2.60506E-06
7.3;2.59504E-06
7.4;2.59931E-06
7.5;2.59583E-06
7.6;2.5977E-06
7.7;2.59914E-06
7.8;2.59801E-06
7.9;2.59707E-06
8;2.59936E-06
8.1;2.59752E-06
8.2;2.60061E-06
8.3;2.59012E-06
8.4;2.59402E-06
8.5;2.59443E-06
8.6;2.59174E-06
8.7;2.59235E-06
8.8;2.59441E-06
8.9;2.59586E-06
9;2.59296E-06
9.1;2.58706E-06
9.2;2.59231E-06
9.3;2.59287E-06
9.4;2.59129E-06
9.5;2.59606E-06
9.6;2.60288E-06
9.7;2.60647E-06
9.8;2.60608E-06
9.9;2.6098E-06
10;2.60374E-06
10;2.5851E-06
9.9;2.56903E-06
9.8;2.57734E-06
9.7;2.56399E-06
9.6;2.56903E-06
9.5;2.56447E-06
9.4;2.55339E-06
9.3;2.56324E-06
9.2;2.55507E-06
9.1;2.55747E-06
9;2.54765E-06
8.9;2.5593E-06
8.8;2.5566E-06
8.7;2.56383E-06
8.6;2.5623E-06
8.5;2.5633E-06
8.4;2.55568E-06
8.3;2.55247E-06
8.2;2.54937E-06
8.1;2.55028E-06
8;2.54882E-06
7.9;2.54884E-06
7.8;2.54929E-06
7.7;2.54465E-06
7.6;2.54572E-06
7.5;2.5445E-06
7.4;2.54259E-06
7.3;2.53182E-06
7.2;2.5207E-06
7.1;2.51523E-06
7;2.51966E-06
6.9;2.52448E-06
6.8;2.52552E-06
6.7;2.52021E-06
6.6;2.51204E-06
6.5;2.51186E-06
6.4;2.5102E-06
6.3;2.51156E-06
6.2;2.51048E-06
6.1;2.50972E-06
6;2.5096E-06
5.9;2.50111E-06
5.8;2.49817E-06
5.7;2.50311E-06
5.6;2.49979E-06
5.5;2.50563E-06
5.4;2.48877E-06
5.3;2.48589E-06
5.2;2.48347E-06
5.1;2.48531E-06
5;2.4777E-06
4.9;2.4711E-06
4.8;2.4655E-06
4.7;2.45778E-06
4.6;2.45612E-06
4.5;2.44886E-06
4.4;2.43914E-06
4.3;2.43539E-06
4.2;2.42729E-06
4.1;2.41957E-06
4;2.41577E-06
3.9;2.41074E-06
3.8;2.40205E-06
3.7;2.41022E-06
3.6;2.39186E-06
3.5;2.3828E-06
3.4;2.37599E-06
3.3;2.35788E-06
3.2;2.34281E-06
3.1;2.34493E-06
3;2.33568E-06
2.9;2.31901E-06
2.8;2.29929E-06
2.7;2.28786E-06
2.59999;2.28089E-06
2.5;2.26301E-06
2.4;2.25402E-06
2.3;2.23285E-06
2.2;2.21585E-06
2.1;2.18178E-06
2;2.152E-06
1.9;2.11747E-06
1.8;2.09789E-06
1.7;2.07946E-06
1.6;2.03258E-06
1.5;1.98501E-06
1.4;1.92628E-06
1.3;1.86376E-06
1.2;1.78964E-06
1.1;1.71416E-06
1;1.6257E-06
0.9;1.53999E-06
0.8;1.44899E-06
0.7;1.33572E-06
0.6;1.20475E-06
0.5;1.0642E-06
0.4;8.94559E-07
0.29999;7.15371E-07
0.2;5.20977E-07
0.1;2.94506E-07
-1E-05;3.92199E-09
