iC=1 iDev=1;iC=1 iDev=1
Ch1 - Volts;Ch2 - Amps
-10.00001;1.8E-12
-9.90001;1.72E-12
-9.80001;1.77E-12
-9.70001;1.61E-12
-9.60001;2.8E-13
-9.50001;1.03E-12
-9.40001;1.71E-12
-9.30001;7.6E-13
-9.20001;5.9E-13
-9.10001;9E-13
-9.00001;1.49E-12
-8.90001;8.8E-13
-8.80001;4.1E-13
-8.70001;3.7E-13
-8.60001;1.37E-12
-8.50001;8.3E-13
-8.40001;-1.1E-13
-8.30001;7.4E-13
-8.20001;7.6E-13
-8.10001;5.1E-13
-8.00001;3.7E-13
-7.90001;1.1E-13
-7.80001;8.7E-13
-7.70001;7.9E-13
-7.60001;5.8E-13
-7.50001;3.5E-13
-7.40001;3.9E-13
-7.30001;-1.2E-13
-7.20001;5.3E-13
-7.10001;7.7E-13
-7.00001;1.7E-13
-6.90001;-4E-13
-6.80001;2.8E-13
-6.70001;8.3E-13
-6.60001;2.8E-13
-6.50001;2.3E-13
-6.40001;6E-14
-6.30001;2.1E-13
-6.20001;1.1E-13
-6.10001;-1.2E-13
-6.00001;1.5E-13
-5.90001;2.2E-13
-5.80001;1.5E-13
-5.70001;6.7E-13
-5.60001;1.5E-13
-5.50001;7E-14
-5.40001;-3E-14
-5.30001;-2.1E-13
-5.20001;7.8E-13
-5.10001;2E-14
-5.00001;-3.1E-13
-4.90001;4E-13
-4.80001;7.3E-13
-4.70001;-2E-13
-4.60001;-4.4E-13
-4.50001;2E-13
-4.40001;3.8E-13
-4.30001;3.4E-13
-4.20001;3.6E-13
-4.10001;1.57E-12
-4.00001;2.77E-12
-3.90001;5.41E-12
-3.80001;1.054E-11
-3.70001;1.926E-11
-3.60001;3.369E-11
-3.50001;5.064E-11
-3.40001;7.537E-11
-3.30001;1.0709E-10
-3.20001;1.4577E-10
-3.10001;1.9448E-10
-3.00001;2.5146E-10
-2.90001;3.2112E-10
-2.80001;3.9948E-10
-2.70001;4.9113E-10
-2.60001;5.9324E-10
-2.50001;7.1001E-10
-2.40001;8.3753E-10
-2.30001;9.7724E-10
-2.20001;1.13217E-09
-2.10001;1.29943E-09
-2.00001;1.48037E-09
-1.90001;1.67431E-09
-1.80001;1.88147E-09
-1.70001;2.10172E-09
-1.60001;2.38016E-09
-1.50001;2.61232E-09
-1.40001;2.87257E-09
-1.30001;3.14698E-09
-1.20001;3.44042E-09
-1.10001;3.74988E-09
-1.00001;4.07547E-09
-0.90001;4.41082E-09
-0.80001;4.76043E-09
-0.70001;5.12105E-09
-0.60001;5.49507E-09
-0.50001;5.89432E-09
-0.40001;6.29792E-09
-0.30001;6.71417E-09
-0.20001;7.13301E-09
-0.10001;7.56589E-09
-1E-05;7.99383E-09
0.09999;8.42291E-09
0.19999;8.84444E-09
0.29999;9.26082E-09
0.39999;9.89597E-09
0.49999;1.035153E-08
0.59999;1.10802E-08
0.69999;1.15571E-08
0.79999;1.21093E-08
0.89999;1.2719E-08
0.99999;1.33873E-08
1.09999;1.41307E-08
1.19999;1.49777E-08
1.29999;1.5967E-08
1.39999;1.71476E-08
1.49999;1.85935E-08
1.59999;2.04019E-08
1.69999;2.26803E-08
1.79999;2.55631E-08
1.89999;2.91938E-08
1.99999;3.36787E-08
2.09999;3.91906E-08
2.19999;4.71101E-08
2.29999;5.41108E-08
2.39999;6.28081E-08
2.49999;7.26933E-08
2.59999;8.36184E-08
2.69999;9.56352E-08
2.79999;1.12623E-07
2.89999;1.24644E-07
2.99999;1.3887E-07
3.09999;1.54209E-07
3.19999;1.70581E-07
3.29999;1.87854E-07
3.39999;2.06078E-07
3.49999;2.25032E-07
3.59999;2.44902E-07
3.69999;2.65743E-07
3.79999;2.87354E-07
3.89999;3.09974E-07
3.99999;3.39211E-07
4.09999;3.62157E-07
4.19999;3.85743E-07
4.29999;4.10811E-07
4.39999;4.37162E-07
4.49999;4.64935E-07
4.59999;4.93283E-07
4.69999;5.22815E-07
4.79999;5.53253E-07
4.89999;5.84843E-07
4.99999;6.17129E-07
5.09999;6.50137E-07
5.19999;6.84012E-07
5.29999;7.18807E-07
5.39999;7.54525E-07
5.49999;7.9073E-07
5.59999;8.27812E-07
5.69999;8.65528E-07
5.79999;9.0408E-07
5.89999;9.58587E-07
5.99999;9.91962E-07
6.09999;1.029681E-06
6.19999;1.07741E-06
6.29999;1.11355E-06
6.39999;1.15292E-06
6.49999;1.19406E-06
6.59999;1.23608E-06
6.69999;1.27862E-06
6.79999;1.322E-06
6.89999;1.3656E-06
6.99999;1.40986E-06
7.09999;1.45433E-06
7.19999;1.49932E-06
7.29999;1.54462E-06
7.39999;1.59036E-06
7.49999;1.63579E-06
7.59999;1.68179E-06
7.69999;1.72799E-06
7.79999;1.78994E-06
7.89999;1.82985E-06
7.99999;1.87368E-06
8.09999;1.91886E-06
8.19999;1.96494E-06
8.29999;2.01153E-06
8.39999;2.05816E-06
8.49999;2.1053E-06
8.59999;2.15268E-06
8.69999;2.20027E-06
8.79999;2.248E-06
8.89999;2.29576E-06
8.99999;2.34398E-06
9.09999;2.39228E-06
9.19999;2.44078E-06
9.29999;2.4891E-06
9.39999;2.53811E-06
9.49999;2.58723E-06
9.59999;2.63645E-06
9.69999;2.70578E-06
9.79999;2.74803E-06
9.89999;2.7941E-06
9.99999;2.8415E-06
9.99999;2.86121E-06
9.9;2.84739E-06
9.8;2.8236E-06
9.7;2.79504E-06
9.6;2.76376E-06
9.5;2.73051E-06
9.4;2.69558E-06
9.3;2.65957E-06
9.2;2.62256E-06
9.1;2.5846E-06
9;2.54618E-06
8.9;2.50749E-06
8.8;2.46754E-06
8.7;2.42703E-06
8.6;2.38617E-06
8.5;2.33123E-06
8.4;2.29665E-06
8.3;2.25747E-06
8.2;2.21672E-06
8.1;2.17342E-06
8;2.13259E-06
7.9;2.09034E-06
7.8;2.0477E-06
7.7;2.00498E-06
7.6;1.96181E-06
7.5;1.91846E-06
7.4;1.87501E-06
7.3;1.83111E-06
7.2;1.78736E-06
7.1;1.74347E-06
7;1.69943E-06
6.9;1.65531E-06
6.8;1.61115E-06
6.7;1.56699E-06
6.6;1.52281E-06
6.5;1.46459E-06
6.4;1.42669E-06
6.3;1.38503E-06
6.20001;1.34266E-06
6.1;1.2999E-06
6;1.2572E-06
5.9;1.2143E-06
5.8;1.17162E-06
5.7;1.12941E-06
5.6;1.08696E-06
5.5;1.04523E-06
5.4;1.0036E-06
5.3;9.6246E-07
5.2;9.2182E-07
5.1;8.8187E-07
5;8.40316E-07
4.9;8.02847E-07
4.8;7.64863E-07
4.7;7.27737E-07
4.6;6.78966E-07
4.5;6.4836E-07
4.4;6.15306E-07
4.3;5.82371E-07
4.2;5.49763E-07
4.1;5.17822E-07
4;4.87219E-07
3.9;4.57238E-07
3.8;4.28199E-07
3.7;4.00134E-07
3.6;3.72907E-07
3.5;3.47004E-07
3.4;3.22033E-07
3.3;2.98008E-07
3.2;2.75441E-07
3.1;2.53406E-07
3;2.32445E-07
2.9;2.12511E-07
2.8;1.93574E-07
2.7;1.69304E-07
2.6;1.54744E-07
2.5;1.39226E-07
2.4;1.24166E-07
2.3;1.09802E-07
2.2;9.6083E-08
2.1;7.99021E-08
2;6.96075E-08
1.9;5.91504E-08
1.8;4.97662E-08
1.7;4.17769E-08
1.6;3.53446E-08
1.5;3.04756E-08
1.4;2.69772E-08
1.3;2.45099E-08
1.2;2.27664E-08
1.1;2.14686E-08
1;2.04324E-08
0.9;1.95256E-08
0.8;1.84533E-08
0.7;1.77635E-08
0.6;1.70381E-08
0.5;1.63058E-08
0.4;1.55653E-08
0.3;1.48473E-08
0.2;1.4124E-08
0.1;1.34233E-08
0;1.2724E-08
-0.1;1.20549E-08
-0.2;1.13923E-08
-0.3;1.07504E-08
-0.4;1.0132E-08
-0.5;9.5474E-09
-0.6;8.9768E-09
-0.7;8.34573E-09
-0.8;7.86032E-09
-0.9;7.36317E-09
-1;6.86553E-09
-1.1;6.32911E-09
-1.2;5.91209E-09
-1.3;5.4774E-09
-1.4;5.08222E-09
-1.5;4.69202E-09
-1.6;4.30829E-09
-1.7;3.94253E-09
-1.8;3.58547E-09
-1.9;3.26929E-09
-2;2.97094E-09
-2.1;2.68076E-09
-2.2;2.39361E-09
