iC=1 iDev=1;iC=1 iDev=1
Ch1 - Volts;Ch2 - Amps
-10;1.228E-11
-9.90001;1.063E-11
-9.80001;9.43E-12
-9.70001;8.77E-12
-9.60001;8.74E-12
-9.50001;9.03E-12
-9.40001;7.89E-12
-9.30001;7.56E-12
-9.20001;7.28E-12
-9.10001;7.71E-12
-9.00001;7.3E-12
-8.90001;5.95E-12
-8.80001;6.1E-12
-8.70001;7.26E-12
-8.60001;5.38E-12
-8.50001;5.8E-12
-8.40001;6.21E-12
-8.30001;4.78E-12
-8.20001;6.29E-12
-8.10001;5E-12
-8.00001;4.88E-12
-7.90001;5.81E-12
-7.80001;4.38E-12
-7.70001;5.8E-12
-7.60001;4.63E-12
-7.50001;4.45E-12
-7.40001;3.82E-12
-7.30001;3.68E-12
-7.20001;5.03E-12
-7.10001;3.38E-12
-7.00001;4.3E-12
-6.90001;3.47E-12
-6.80001;3.89E-12
-6.70001;3.36E-12
-6.60001;4.23E-12
-6.50001;3.34E-12
-6.40001;3.89E-12
-6.30001;3.28E-12
-6.20001;3.53E-12
-6.10001;3.5E-12
-6.00001;3.45E-12
-5.90001;3.11E-12
-5.80001;3.4E-12
-5.70001;4.5E-12
-5.60001;2.69E-12
-5.50001;2.61E-12
-5.40001;3.39E-12
-5.30001;3.56E-12
-5.20001;2.93E-12
-5.10001;2.57E-12
-5.00001;2.04E-12
-4.90001;3.83E-12
-4.80001;3.07E-12
-4.70001;2.51E-12
-4.60001;2.63E-12
-4.50001;3.08E-12
-4.40001;2.89E-12
-4.30001;3.18E-12
-4.20001;2.53E-12
-4.10001;3.75E-12
-4.00001;5.48E-12
-3.90001;8.07E-12
-3.80001;1.476E-11
-3.70001;2.655E-11
-3.60001;4.979E-11
-3.50001;8.194E-11
-3.40001;1.3782E-10
-3.30001;2.1412E-10
-3.20001;3.2311E-10
-3.10001;4.7098E-10
-3.00001;6.7518E-10
-2.90001;9.3278E-10
-2.80001;1.26934E-09
-2.70001;1.70226E-09
-2.60001;2.22226E-09
-2.50001;2.86019E-09
-2.40001;3.62525E-09
-2.30001;4.5249E-09
-2.20001;5.58449E-09
