iC=1 iDev=1;iC=1 iDev=1
Ch1 - sec;Ch1 - Amps
0.086908;4.27E-12
0.157271;3.07E-12
0.347652;1.59E-12
0.547566;1.44E-12
0.747774;1.41E-12
0.947506;1.38E-12
1.147764;1.64E-12
1.347708;1.11E-12
1.547549;1.37E-12
1.747848;1.07E-12
1.948698;1.44E-12
2.152483;1.12E-12
2.348611;1.43E-12
2.54885;1.52E-12
2.750005;1.38E-12
2.951056;1.38E-12
3.154639;1.47E-12
3.352347;1.08E-12
3.551937;1.43E-12
3.753299;1.8E-12
3.953143;1.55E-12
4.154609;1.28E-12
4.354562;1.37E-12
4.554887;1.44E-12
4.755202;1.58E-12
4.95555;1.32E-12
5.158461;1.44E-12
5.355024;1.43E-12
5.555781;1.58E-12
5.757279;1.2E-12
5.95767;1.39E-12
6.157424;1.23E-12
6.358047;9.2E-13
6.558366;1.5E-12
6.758173;1.21E-12
6.958537;1.44E-12
7.158238;1.64E-12
7.358497;1.27E-12
7.557902;1.5E-12
7.75878;1.36E-12
7.959451;1.19E-12
8.159814;1.63E-12
8.360053;1.18E-12
8.56138;1.42E-12
8.761414;1.41E-12
8.961372;1.3E-12
9.166269;1.59E-12
9.361368;1.22E-12
9.561364;1.31E-12
9.761506;1.75E-12
9.961352;1.41E-12
10.16835;1.4E-12
10.361831;1.46E-12
10.563305;1.4E-12
10.763136;1.5E-12
10.963864;1.35E-12
11.170114;1.43E-12
11.363857;1.61E-12
11.564794;1.4E-12
11.765235;1.26E-12
11.964973;1.54E-12
12.172204;1.42E-12
12.366006;1.45E-12
12.565792;1.37E-12
12.766909;1.4E-12
12.96767;1.34E-12
13.17416;1.39E-12
13.367678;1.28E-12
13.567037;1.24E-12
13.767721;1.17E-12
13.967428;1.53E-12
14.171937;8.8E-13
14.367701;1.27E-12
14.567044;1.51E-12
14.767763;1.57E-12
14.968531;1.29E-12
15.173836;1.47E-12
15.368507;1.43E-12
15.568124;1.22E-12
15.768417;1.25E-12
15.96858;1.37E-12
16.180526;1.3E-12
16.368483;1.38E-12
16.568755;1.59E-12
16.769791;1.74E-12
16.970219;1.13E-12
17.1778;1.44E-12
17.371349;1.32E-12
17.571392;1.2E-12
17.771361;1.66E-12
17.971326;1.14E-12
18.184162;1.38E-12
18.371362;1.27E-12
18.571304;1.47E-12
18.771351;1.3E-12
18.971351;1.36E-12
19.181544;1.38E-12
19.371693;1.68E-12
19.57191;1.45E-12
19.773189;1.62E-12
19.973079;1.3E-12
