iC=1 iDev=1;iC=1 iDev=1
Ch2 - Volts;Ch2 - Amps
0;1.4304E-10
0.09999;1.17439E-08
0.19999;2.2841E-08
0.29999;3.33069E-08
0.4;4.30974E-08
0.5;5.22706E-08
0.59999;6.0828E-08
0.69999;6.88822E-08
0.79999;7.63059E-08
0.89999;8.31615E-08
0.99999;8.93784E-08
1.1;9.53809E-08
1.2;1.006867E-07
1.3;1.046E-07
1.4;1.09501E-07
1.5;1.13539E-07
1.6;1.17155E-07
1.7;1.20705E-07
1.8;1.23982E-07
1.9;1.26637E-07
2;1.27903E-07
2.1;1.30513E-07
2.2;1.32459E-07
2.3;1.33548E-07
2.4;1.35114E-07
2.5;1.36036E-07
2.6;1.37056E-07
2.7;1.38317E-07
2.8;1.38954E-07
2.9;1.40032E-07
3;1.40575E-07
3.1;1.40775E-07
3.2;1.41671E-07
3.3;1.4221E-07
3.4;1.42469E-07
3.5;1.42687E-07
3.6;1.42553E-07
3.7;1.42562E-07
3.8;1.42546E-07
3.9;1.42271E-07
4;1.42099E-07
4.1;1.41979E-07
4.2;1.42474E-07
4.3;1.42596E-07
4.4;1.42563E-07
4.5;1.42513E-07
4.6;1.42214E-07
4.7;1.42102E-07
4.8;1.4182E-07
4.9;1.41961E-07
5;1.41789E-07
5.1;1.41732E-07
5.2;1.42041E-07
5.3;1.4187E-07
5.4;1.42286E-07
5.5;1.42861E-07
5.6;1.42336E-07
5.7;1.42448E-07
5.8;1.42887E-07
5.9;1.42865E-07
6;1.42414E-07
6.1;1.42417E-07
6.2;1.42733E-07
6.3;1.42356E-07
6.4;1.42228E-07
6.5;1.42466E-07
6.6;1.42081E-07
6.7;1.40999E-07
6.8;1.41752E-07
6.9;1.42031E-07
7;1.42104E-07
7.1;1.41586E-07
7.2;1.41776E-07
7.3;1.41761E-07
7.4;1.42219E-07
7.5;1.42293E-07
7.6;1.41861E-07
7.7;1.4174E-07
7.8;1.41821E-07
7.9;1.41705E-07
8;1.41127E-07
8.1;1.40499E-07
8.2;1.40449E-07
8.3;1.4088E-07
8.4;1.4087E-07
8.5;1.40814E-07
8.6;1.41271E-07
8.7;1.40994E-07
8.8;1.40739E-07
8.9;1.4092E-07
9;1.41035E-07
9.1;1.40642E-07
9.2;1.40926E-07
9.3;1.41044E-07
9.4;1.41062E-07
9.5;1.40696E-07
9.6;1.40592E-07
9.7;1.39832E-07
9.8;1.39537E-07
9.9;1.39983E-07
10;1.39346E-07
10;1.37894E-07
9.9;1.37036E-07
9.8;1.36805E-07
9.7;1.36887E-07
9.6;1.36437E-07
9.5;1.35814E-07
9.4;1.36013E-07
9.3;1.35412E-07
9.2;1.35411E-07
9.1;1.35051E-07
9;1.35145E-07
8.9;1.35078E-07
8.8;1.34953E-07
8.7;1.35136E-07
8.6;1.35297E-07
8.5;1.34886E-07
8.4;1.34473E-07
8.3;1.34691E-07
8.2;1.35268E-07
8.1;1.34797E-07
8;1.35348E-07
7.9;1.34857E-07
7.8;1.34805E-07
7.7;1.34863E-07
7.6;1.34796E-07
7.5;1.34754E-07
7.4;1.34472E-07
7.3;1.33658E-07
7.2;1.33457E-07
7.1;1.33588E-07
7;1.33423E-07
6.9;1.33358E-07
6.8;1.33896E-07
6.7;1.33998E-07
6.6;1.339E-07
6.5;1.33973E-07
6.4;1.33597E-07
6.3;1.33496E-07
6.2;1.33422E-07
6.1;1.33001E-07
6;1.32872E-07
5.9;1.32842E-07
5.8;1.32627E-07
5.7;1.32128E-07
5.6;1.31559E-07
5.5;1.31877E-07
5.4;1.31956E-07
5.3;1.31914E-07
5.2;1.31983E-07
5.1;1.31374E-07
5;1.31398E-07
4.9;1.31325E-07
4.8;1.3135E-07
4.7;1.31019E-07
4.6;1.30606E-07
4.5;1.30485E-07
4.4;1.30461E-07
4.3;1.30168E-07
4.2;1.30038E-07
4.1;1.30443E-07
4;1.30385E-07
3.9;1.30588E-07
3.8;1.29476E-07
3.7;1.29068E-07
3.6;1.28486E-07
3.5;1.2808E-07
3.4;1.27762E-07
3.3;1.27216E-07
3.2;1.2666E-07
3.1;1.26306E-07
3;1.254E-07
2.9;1.24921E-07
2.8;1.23898E-07
2.7;1.22725E-07
2.6;1.21612E-07
2.5;1.20289E-07
2.4;1.19201E-07
2.3;1.17364E-07
2.2;1.15285E-07
2.1;1.13042E-07
2;1.10908E-07
1.9;1.09733E-07
1.8;1.06549E-07
1.7;1.03631E-07
1.6;1.00517E-07
1.5;9.7578E-08
1.4;9.3802E-08
1.3;9.0052E-08
1.2;8.61837E-08
1.1;8.13428E-08
1;7.64945E-08
0.9;7.14587E-08
0.8;6.5855E-08
0.7;5.95062E-08
0.6;5.26914E-08
0.5;4.571E-08
0.4;3.79729E-08
0.3;2.95582E-08
0.2;2.05516E-08
0.1;1.07091E-08
0;1.3169E-10
