Z' (Ω);-Z'' (Ω);Error Z' (%);Error Z'' (%);Z (Ω);-Phase (°);Frequency (Hz);Convergence;Number of iterations;χ²
38.121;0.10973175888851;4.08585892451097;-93.4576350362531;38.1211579317695;0.164926137775592;100000;True;11;0.52578
38.121;0.138143792741695;4.58491217081317;-90.733573593649;38.1212503035705;0.207628909084192;79433;;;
38.121;0.173912385711472;4.88035256191267;-87.4515395405628;38.1213967020872;0.261388121443134;63096;;;
38.121;0.218942434782239;4.9787831269192;-83.7776612631668;38.1216287268756;0.329066381806117;50119;;;
38.121;0.275631757274397;4.86674849008446;-79.8988816616835;38.121996456975;0.414266708442494;39811;;;
38.121;0.34699983837242;4.80722430240063;-75.9020594938476;38.1225792659394;0.521525593403867;31623;;;
38.121;0.43684764078391;4.58384704106098;-72.0204150580138;38.1235029458372;0.656552308866952;25119;;;
38.121;0.549951179714881;4.30876201533716;-68.2144633110432;38.1249667186749;0.826518082780477;19953;;;
38.121;0.692357618073761;3.97674096145495;-64.6325800976295;38.127286817597;1.04049758683232;15849;;;
38.121;0.87164793779101;3.635676394366;-61.1013120939904;38.1309639417555;1.30985669950746;12589;;;
38.121;1.0973175888851;3.18528253664159;-57.6766645720976;38.1367899395174;1.64881064123753;10000;;;
38.121;1.38143792741695;2.69643414189906;-54.3146985753009;38.1460222270594;2.07539002309669;7943.3;;;
38.121;1.73912385711472;2.0858975206979;-50.923775043974;38.1606497951802;2.61208818273812;6309.6;;;
38.121;2.18942434782239;1.44669389069943;-47.541251134183;38.1838214427896;3.28708889592307;5011.9;;;
38.121;2.75631757274397;0.825449726808923;-44.0912853148831;38.2205171022295;4.13554251652406;3981.1;;;
38.121;3.4699983837242;0.0381977075968818;-40.7074545674489;38.2786040730726;5.20106672205102;3162.3;;;
38.121;4.3684764078391;-0.840049119630623;-37.3909302049467;38.3704864072095;6.53729404855746;2511.9;;;
38.121;5.49951179714882;-1.68413923125704;-34.1000106907045;38.515649689535;8.20911670580368;1995.3;;;
38.121;6.9235761807376;-2.52272912851816;-30.9885137184766;38.7446325073613;10.2939128971539;1584.9;;;
38.121;8.71647937791011;-3.440260093373;-28.083079321074;39.1048290335801;12.8794407907493;1258.9;;;
38.121;10.973175888851;-4.34868985035599;-25.4453862663214;39.6688949945377;16.0585280062976;1000;;;
38.121;13.8143792741695;-5.34966205150978;-23.1358109232765;40.5468582720117;19.9196247670168;794.33;;;
38.121;17.3912385711472;-6.29188735541937;-21.0854680828577;41.9006661049506;24.5230170162743;630.96;;;
38.121;21.8942434782239;-7.29028876792962;-19.321495243994;43.9609888251362;29.8702805858507;501.19;;;
38.121;27.5631757274397;-8.44378645542166;-17.8675036157863;47.0418887501525;35.868599994239;398.11;;;
38.121;34.699983837242;-9.66622091200206;-16.5535235133539;51.549001147499;42.3103112325502;316.23;;;
38.121;43.684764078391;-11.0872314621749;-15.3736052987239;57.979041502811;48.8908021316747;251.19;;;
38.121;54.9951179714881;-12.7782991414785;-14.3741695451201;66.9154215536142;55.2714371103016;199.53;;;
38.121;69.2357618073761;-14.747941712249;-13.4183049247407;79.0367089019255;61.1629531378951;158.49;;;
38.121;87.164793779101;-16.9890047665117;-12.3986063910116;95.136280753208;66.3781246399825;125.89;;;
38.121;109.73175888851;-19.7087445540093;-11.5868492576569;116.1648378373;70.8426859379366;100;;;
38.121;138.143792741695;-22.8981945717205;-10.7787295306944;143.307076287461;74.5730720527057;79.433;;;
38.121;173.912385711472;-26.558410249051;-9.94614601094961;178.04136751007;77.6364963747841;63.096;;;
38.121;218.942434782239;-30.4945710731782;-9.08854651403272;222.236361537384;80.1230030452894;50.119;;;
38.121;275.631757274397;-34.9852424229726;-8.17434084353811;278.255415507358;82.1257121791712;39.811;;;
38.121;346.99983837242;-39.5182119761473;-7.13295994254175;349.08752265225;83.7306927668588;31.623;;;
38.121;436.84764078391;-44.5735563295582;-6.25967476654431;438.50777860771;85.0127841818013;25.119;;;
38.121;549.951179714882;-49.7258320003693;-5.39197071129626;551.270814310707;86.0347675736078;19.953;;;
38.121;692.35761807376;-54.8629238864855;-4.52850078332178;693.40628923148;86.8484938959307;15.849;;;
38.121;871.64793779101;-60.0193629727333;-3.66540622927257;872.481139106354;87.4957992118023;12.589;;;
38.121;1097.3175888851;-64.9610543535311;-2.75550648680389;1097.97955423478;88.010335028738;10;;;
38.121;1381.43792741695;-69.6127773486641;-1.88784915405425;1381.96380486141;88.4193149687675;7.9433;;;
38.121;1739.12385711472;-73.8315929965501;-0.994914335782668;1739.54160658105;88.7442971977527;6.3096;;;
38.121;2189.42434782239;-77.6351356698346;-0.0394811644041598;2189.75619315907;89.0024995671303;5.0119;;;
38.121;2756.31757274397;-81.0561605519699;0.834579361166789;2756.58117465425;89.2076264413785;3.9811;;;
38.121;3469.9983837242;-84.0730052111491;1.64663379608685;3470.20777385008;89.3705805286756;3.1623;;;
38.121;4368.4764078391;-86.6729979502349;2.57382172784648;4368.64273390349;89.5000277515463;2.5119;;;
38.121;5499.51179714882;-88.8706516858562;3.44847622793891;5499.64391734774;89.6028488509012;1.9953;;;
38.121;6923.5761807376;-90.7572779869641;4.31059749959388;6923.68112647587;89.6845343674092;1.5849;;;
38.121;8716.47937791011;-92.1947381451123;5.23199313691701;8716.56273746556;89.7494219408154;1.2589;;;
38.121;10973.175888851;-93.7531754759758;5.94304595912003;10973.242105153;89.8009542865047;1;;;
38.121;13814.3792741695;-94.85025973623;6.76640244566379;13814.4318718232;89.8418917836705;0.79433;;;
38.121;17391.2385711472;-95.7686004634747;7.52081096460267;17391.2803510609;89.8744098125165;0.63096;;;
38.121;21894.2434782239;-96.5662026711851;8.40012902437243;21894.2766652472;89.9002399783381;0.50119;;;
38.121;27563.1757274397;-97.2264048331063;8.99017899646933;27563.2020888786;89.9207576427409;0.39811;;;
38.121;34699.983837242;-97.6765333093021;9.92946807803063;34700.00477688;89.9370555461244;0.31623;;;
38.121;43684.764078391;-98.1331319683173;10.5543590319211;43684.7807113109;89.9500015187793;0.25119;;;
38.121;54995.1179714882;-98.5318529138401;11.6076300930465;54995.1311836652;89.9602842553746;0.19953;;;
38.121;69235.761807376;-98.8148730465122;12.2900671021362;69235.7723020286;89.968453121146;0.15849;;;
38.121;87164.793779101;-99.0566568568009;13.1306496928992;87164.802115096;89.9749420359199;0.12589;;;
38.121;109731.75888851;-99.2455225746761;13.7923096463352;109731.76551016;89.9800953493768;0.1;;;
