Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;219.548216056255;10.9600064716385;219.8216115748;2.85787450433991;7.22313498176334
2;79433;217.700448195207;8.64626135773429;217.872079394906;2.27438233893641;8.41315597875882
3;63096;216.403182071975;6.99747594384779;216.516285485552;1.85203465953377;9.75318097537559
4;50119;215.870339449277;5.85460754613491;215.949716099525;1.55353484581139;11.0832069720176
5;39811;215.40516220579;5.0383536222459;215.464078008669;1.33991111361458;12.4132319686596
6;31623;215.147419268298;4.49700748468079;215.194412320874;1.19742099075666;13.6982569654152
7;25119;215.014847905064;4.18701811311837;215.055611273729;1.11558877158597;14.9382759622845
8;19953;215.055782498131;4.09196902001552;215.094708898997;1.09006260631569;16.168301959179
9;15849;215.252256172173;4.17127238784094;215.292668942871;1.11016905213697;17.3883239560987
10;12589;215.278325486662;4.4181230539234;215.323656934534;1.17570718292483;18.6083439530184
11;10000;215.450766022185;4.82985153593651;215.504895641388;1.28420878557061;20.7133849477037
12;7943.3;215.920970478434;5.40407445380964;215.988586534222;1.43370063089153;21.8834059447497
13;6309.6;216.365726974041;6.12558109435387;216.452420990731;1.62168113790061;23.2234299413665
14;5011.9;216.828965639877;7.01574183437063;216.942437005639;1.85322199350874;24.4584549382483
15;3981.1;217.528727103134;8.07731162954047;217.678639462559;2.12653909009159;25.6934779351302
16;3162.3;218.230348783033;9.32742058612409;218.429590268248;2.44739910788896;26.9035009320752
17;2511.9;219.061809990505;10.8051139801036;219.328126523798;2.82379707950785;28.1885219288308
18;1995.3;220.131060796234;12.529333558358;220.487342327609;3.25762397152311;29.4085449257506
19;1584.9;221.251396786418;14.54216415732;221.728787301783;3.76046399100762;30.5835689227839
20;1258.9;222.650260486996;16.9058813107493;223.291171607433;4.34214869535232;31.7785889197668
21;1000;224.401503736351;19.6579100485785;225.260889429598;5.00641631707977;33.0336129165981
22;794.33;226.255407280311;22.8633220458903;227.407653386058;5.77020527257481;34.3686389132275
23;630.96;228.372014526237;26.6142475983182;229.917583481552;6.64720874979484;35.5886609101473
24;501.19;230.902409709621;31.0090578834607;232.975287274272;7.6487781140868;36.8336819070039
25;398.11;233.747944224416;36.1769706265497;236.530916864698;8.7978161173365;38.0637049038984
26;316.23;237.064197556237;42.2938206934942;240.807394055573;10.1155200097139;39.2887309008055
27;251.19;240.933170476599;49.5507038707115;245.975740450128;11.6215001627632;40.5287498976747
28;199.53;245.468668521386;58.1702695837359;252.267016252832;13.3318142646521;41.7387728946197
29;158.49;250.883689191821;68.4297422687645;260.048563021348;15.2565892070499;42.9837958914763
30;125.89;257.456926534697;80.6375834782789;269.789712350024;17.3909764978658;44.3438208880426
31;100;265.811175578881;95.1733813620764;282.335887875626;19.6998474496529;45.6188478848235
32;79.433;276.740693314872;112.305858515914;298.660370979132;22.0881114966028;46.928870881516
33;63.096;290.786198912519;132.013428152115;319.349586958344;24.4174758407053;48.298896878057
34;50.119;308.981079203766;155.13013076454;345.737855574056;26.6598544529724;49.6789198745728
35;39.811;332.487769951424;180.413276082945;378.281730135427;28.4849782174379;58.7740918516097
36;31.623;363.15401259219;205.21385121512;417.125354770422;29.4702553304679;60.3291178476836
37;25.119;401.387892318475;228.344371486965;461.793668308309;29.6349869415457;61.9041468437071
38;19.953;445.867796473067;247.630709730125;510.018686258841;29.0473742100356;63.7291818390993
39;15.849;494.194148711239;260.415153614659;558.608905096019;27.7869472993079;65.6192168343274
40;12.589;543.722307431244;266.472173133162;605.509179660115;26.1089532484743;67.6242538292652
41;10;591.138964128724;267.018901819718;648.648108638412;24.308809290216;69.9242968234581
42;7.9433;634.07247566021;264.163277066431;686.898930950066;22.6172788252548;72.2093388176889
43;6.3096;671.25010439406;261.025848057652;720.216075912815;21.249329636971;74.5343798118188
44;5.0119;702.576345511079;260.334733372353;749.258096166973;20.3318332092137;76.8794238058981
45;3.9811;730.116994309246;265.206764345337;776.79176954554;19.9629816045293;79.2794687998386
46;3.1623;754.630801536152;276.980885383919;803.856988210686;20.1552365959487;81.7345137936402
47;2.5119;777.3175453578;298.054083714217;832.501533415883;20.9787860589275;84.2395617873156
48;1.9953;800.070651596021;329.188567074632;865.146323021679;22.3646852556433;86.7846067808899
49;1.5849;823.878834781949;372.588440904958;904.211524311457;24.3342398842626;89.4746567740982
50;1.2589;847.306647264334;427.769245539566;949.165466042574;26.7872766874364;92.224709767155
51;1;875.719493698268;500.58421923742;1008.69677911287;29.7534172142887;95.4497667590125
52;0.79433;904.667043872443;590.807103796791;1080.49779924147;33.1471794792846;98.6998287508069
53;0.63096;936.297588723754;702.622171778993;1170.6114175615;36.8855201717018;102.074889742286
54;0.50119;966.735148095643;847.732191581422;1285.77864160475;41.247595190741;105.864960732717
55;0.39811;1003.19954115955;1027.33863257335;1435.90876637772;45.6811016550172;110.05003872215
56;0.31623;1047.57521938197;1256.50627853781;1635.91621676299;50.1813350339666;114.775125710221
57;0.25119;1092.48508398246;1536.82958795562;1885.5685723781;54.5921447024221;120.160226696625
58;0.19953;1153.20210163018;1895.38608873465;2218.64001419183;58.6825832548641;126.340339681021
59;0.15849;1225.96773620737;2354.24150425222;2654.32664729968;62.491820850331;140.620604644967
60;0.12589;1314.25333017233;2922.05699198481;3204.00981276219;65.7832184502355;149.025760623746
61;0.1;1431.70364669664;3641.22035609664;3912.57728532192;68.5355776318716;159.245951597943
