Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;38.1546946400275;1.75035387071774;38.1948224468511;2.62661321326215;7.25113698169264
2;79433;37.9784571060435;1.5571693897502;38.0103667525579;2.3478912860511;8.37115497886487
3;63096;37.8546651935479;1.44694408322769;37.8823088538118;2.18898908772163;9.73618097541851
4;50119;37.8138922612475;1.40550979910965;37.8400040399129;2.12865484833292;11.0662059720605
5;39811;37.846442273175;1.42263536091231;37.8731710331587;2.15271603763026;12.3912289687152
6;31623;37.8919881072224;1.48816394936618;37.9211998050968;2.2490695125274;13.6512519655339
7;25119;37.9519469488518;1.60353190234939;37.9858077677745;2.41940148127681;14.9062749623653
8;19953;38.0496085751656;1.76895190738164;38.0907062624723;2.66180272491792;16.1212989592976
9;15849;38.171863156654;1.98570744391721;38.2234766982694;2.97785295431405;17.3313199562426
10;12589;38.3092709187267;2.26390999594563;38.3761061963579;3.38199612025884;18.546342953175
11;10000;38.4629856236472;2.60143275171166;38.5508588159404;3.86929045962727;20.6563829478476
12;7943.3;38.6664087509981;3.01602695100166;38.783857263924;4.46010979200425;21.8614059448053
13;6309.6;38.883115605734;3.51391889361115;39.0415715001299;5.16386858292417;23.081426941725
14;5011.9;39.1606512637511;4.11236520031049;39.3759844948905;5.99481191327713;24.3364519385564
15;3981.1;39.4490500741828;4.82803467922682;39.7433953081414;6.97753547133531;25.5764749354256
16;3162.3;39.7660482256061;5.69019901867913;40.1710960312687;8.14328296946204;26.8114989323075
17;2511.9;40.153996830516;6.73191262465761;40.7143968277944;9.5172635030759;28.0165199292651
18;1995.3;40.5522533587471;7.9921515802646;41.3323086622795;11.1491279442973;29.2215419262227
19;1584.9;41.0041478445162;9.52145352097841;42.0951091886824;13.0728094943355;30.3965639232561
20;1258.9;41.5080551989816;11.4007921933226;43.0452867226718;15.3583823006424;31.6015859202137
21;1000;42.0394165923507;13.7024980785655;44.2161848311034;18.0530711113779;32.8366069170955
22;794.33;42.6373329086004;16.5544559051794;45.7383008853121;21.2192989905974;34.1766329137123
23;630.96;43.3647615563548;20.1191722060326;47.8046403092367;24.8890418298181;35.3916539106447
24;501.19;44.1698469496348;24.5376700700279;50.5279391230209;29.0534802355337;36.6216799075391
25;398.11;45.1683730037815;30.0407240199931;54.2459862059317;33.6272095452759;37.8117019045346
26;316.23;46.4652083881297;36.9146265426657;59.3439570919971;38.4656436721423;39.0217219014796
27;251.19;48.1767205104514;45.4479823302852;66.2307745465509;43.3305588239207;40.2967448982605
28;199.53;50.4220637498942;55.9543992416154;75.3211743621174;47.9771073965796;41.5417708951171
29;158.49;53.5855385800759;68.9352457929077;87.3125309302474;52.1409514751324;42.8117948919106
30;125.89;58.0237799014212;84.875311165969;102.813313727205;55.642100370515;44.1118188886284
31;100;64.1906505910967;104.200867499653;122.385703458323;58.3657682925525;46.221859883301
32;79.433;73.0189426745328;127.568258968909;146.98784536711;60.213559979168;47.471882880145
33;63.096;85.558590317822;155.436668673007;177.428380890248;61.1698460531664;48.8569038766482
34;50.119;103.107234185027;189.00941769773;215.303650038082;61.386926529655;50.2369298731639
35;39.811;127.145967731482;227.005996809827;260.188046800767;60.7468296113503;59.2620958503776
36;31.623;160.28049921418;268.2825087021;312.514548307498;59.1445628579278;60.7671238465778
37;25.119;204.681273073811;311.712542815591;372.906332603346;56.7097079885305;62.3321558426264
38;19.953;260.482840950888;353.92326181684;439.446226158465;53.6474231132466;64.1121878381323
39;15.849;327.714707740385;390.273587574254;509.617898849172;49.9796498839497;65.9722208334362
40;12.589;404.749807804839;418.101340144728;581.920215793257;45.9295962339345;67.9422588284623
41;10;485.613663355783;435.447647540073;652.254002506697;41.8824400664697;70.1472978228951
42;7.9433;565.082978287581;442.115913583472;717.485368069698;38.0393112314961;72.3323378173784
43;6.3096;638.371887158399;440.579954734822;775.647705358763;34.6119593410023;74.5823808116976
44;5.0119;703.790434417971;437.903328439923;828.903070712734;31.8901626784663;76.90242580584
45;3.9811;759.708834044714;436.634664125361;876.246165436086;29.8876829880242;79.2474687999194
46;3.1623;808.928180923092;441.53877477085;921.586290869003;28.6271185026692;81.6775137937841
47;2.5119;853.715931150194;457.54309051472;968.595153187029;28.1887720113415;86.5176017815641
48;1.9953;895.955210451104;485.646721969051;1019.11161199045;28.4596203134506;89.0026467752899
49;1.5849;937.790694113489;528.504053740953;1076.46083105075;29.4039950959332;91.7026967684729
50;1.2589;979.724335051793;586.6030002747;1141.91192857591;30.9107669398563;94.4377477615676
51;1;1026.84520744257;665.40226978102;1223.58949843381;32.943495856832;97.647807753463
52;0.79433;1076.76640040422;764.260605804002;1320.42423282192;35.3661351951423;100.792866745522
53;0.63096;1129.99165902478;885.710577212001;1435.74523368555;38.0900744305214;104.162929737014
54;0.50119;1186.97507844572;1043.88516117204;1580.69796816672;41.330010801647;107.977999727382
55;0.39811;1247.71258249658;1237.18239285079;1757.10186434945;44.7572002766118;112.093076716992
56;0.31623;1321.66217828147;1476.83178243962;1981.87361532553;48.1736602560337;116.8031617051
57;0.25119;1389.07761301071;1779.90980133482;2257.78996274129;52.0308024588491;122.148263691605
58;0.19953;1482.52849515259;2151.90083640031;2613.15287509931;55.4355267488606;134.168484661257
59;0.15849;1568.83932271708;2622.32558357523;3055.78930667292;59.1094949168759;141.303617643243
60;0.12589;1672.19709785391;3229.14473941815;3636.42941388706;62.6228368834736;149.803773621782
61;0.1;1791.84070009622;3953.13165172213;4340.26991676424;65.6165823829151;159.983961596079
