Z' (Ω);-Z'' (Ω);Error Z' (%);Error Z'' (%);Z (Ω);-Phase (°);Frequency (Hz);Convergence;Number of iterations;χ²
225.560013058765;0.0918070941369537;2.7382581878823;-99.1623445262142;225.560031742356;0.023320439920192;100000;True;40;0.4821
225.560020696656;0.115578025508935;3.61026932494018;-98.6632600990537;225.560050308018;0.0293586268794379;79433;;;
225.560032801858;0.145503821485594;4.23138451209874;-97.9206241985938;225.560079732512;0.0369602434181854;63096;;;
225.560051987303;0.183178212564044;4.48867248865485;-96.8712127820596;225.560126367167;0.0465301194911566;50119;;;
225.560082394056;0.230607329227391;4.71433464466566;-95.4229626080792;225.560200277783;0.0585778385328298;39811;;;
225.560130585779;0.290317416693206;4.8398030303566;-93.544208728089;225.560317418814;0.0737450961174599;31623;;;
225.560206965174;0.36548853591468;4.90447946402588;-91.2709110388234;225.560503076319;0.0928396569715982;25119;;;
225.560328008782;0.460116510590059;4.88456780311967;-88.7556208676205;225.560797300046;0.116876481816423;19953;;;
225.560519873889;0.579260640170863;4.78892248798093;-86.1130948470452;225.561263670578;0.147140629825609;15849;;;
225.560823984507;0.729263433884471;4.77637424696608;-83.4938179633347;225.562002876649;0.18524303373705;12589;;;
225.561305873651;0.918069021176501;4.69273794571944;-80.9917755370821;225.563174206595;0.233201299958561;10000;;;
225.562069658391;1.15577642383108;4.46510552383769;-78.6128700907088;225.565030728876;0.293580085099878;7943.3;;;
225.563280167755;1.45503057055204;4.25092888894463;-76.2466523887312;225.567973067983;0.369590096377006;6309.6;;;
225.565198685066;1.83176687335886;4.02908948046103;-73.8906174627906;225.57263625651;0.465276578528743;5011.9;;;
225.568239292087;2.30604286027408;3.69583930178605;-71.4503665818664;225.580026622495;0.585729271563267;3981.1;;;
225.573058292748;2.90311344760111;3.36466011746817;-68.8754954191738;225.591738978255;0.737352973090319;3162.3;;;
225.580695801073;3.65476420912843;2.97582029969095;-66.1756070703348;225.610300340034;0.928201078222193;2511.9;;;
225.592799078925;4.60092339460543;2.48113022439223;-63.2787859531742;225.639711691775;1.16837484481835;1995.3;;;
225.611982869186;5.79212411894532;1.97087392265263;-60.1701366021936;225.686321065268;1.47062837903556;1584.9;;;
225.642387097181;7.29167203747502;1.34386845254112;-56.8690214757468;225.760172165101;1.85087874662607;1258.9;;;
225.690558851167;9.17877044219866;0.574441388917946;-53.3074959671901;225.87713071797;2.32891949138384;1000;;;
225.766894225193;11.5539343189846;-0.2159122122163;-49.4651989076913;226.062345219935;2.92963526928648;794.33;;;
225.887836928142;14.5426656348094;-1.08777671521963;-45.3575924658927;226.355481479555;3.68362032032118;630.96;;;
226.079416900541;18.3024298340534;-2.08875811003672;-40.9771496353156;226.819050531298;4.62832958488031;501.19;;;
226.382795420468;23.0300388983891;-3.15089350983842;-36.3406097870237;227.551209080608;5.80874586851092;398.11;;;
226.86298366369;28.9705487853762;-4.30314404186985;-31.5016985688584;228.705282085302;7.277320241594;316.23;;;
227.622441490857;36.4269141353152;-5.52465605271854;-26.4855768136797;230.518753995592;9.09207432545935;251.19;;;
228.822014294457;45.768854497925;-6.78158003919707;-21.3191638521789;233.354456284479;11.3110042642795;199.53;;;
230.713483484318;57.4431567329439;-8.03966402617811;-16.0552782628783;237.757077112153;13.9812529007314;158.49;;;
233.686733603353;71.9676288789386;-9.23268728920399;-10.751753990341;244.517543478297;17.1170665493337;125.89;;;
238.336899402647;89.9093678309907;-10.3360124405607;-5.53097247964677;254.731568598468;20.6683041247013;100;;;
245.557474161641;111.838794678544;-11.2680281239851;-0.415885549998707;269.826590816759;24.4868233797697;79.433;;;
256.639636391059;138.187678423064;-11.7428415272668;4.67698654400122;291.478536834003;28.3002547143908;63.096;;;
273.350190392941;169.015565345061;-11.5317380930392;8.9508301914582;321.382308033233;31.7289783565213;50.119;;;
297.886829451285;203.623449501887;-10.4066806743581;12.8650030213251;360.831085617061;34.3549401999567;39.811;;;
332.544689578954;240.068514393201;-8.42874426603381;16.9845568277668;410.144928251126;35.8260279112315;31.623;;;
378.90927988248;274.813579598206;-5.60022184679141;20.3504942156606;468.075577137538;35.9524533399066;25.119;;;
436.618225139114;303.007190060755;-2.07450984509752;22.3625253874938;531.459153418346;34.7601291488837;19.953;;;
502.347983645628;319.870719108459;1.64992543024888;22.8310698008677;595.542419661094;32.4869978529397;15.849;;;
570.037735528973;322.841225443434;4.83986544934188;21.1538231731621;655.110278329395;29.5250736894335;12.589;;;
632.875210382217;313.093528269707;7.06031048300256;17.2551928481438;706.086814322934;26.3223415058386;10;;;
685.85883333769;295.08891034722;8.1672615774024;11.7070145495707;746.64570197467;23.2796618539185;7.9433;;;
727.016068823873;274.609999748061;8.30777739396446;5.20414042957491;777.150575043053;20.6926564815478;6.3096;;;
756.998150137321;256.860906760346;7.74603428850899;-1.3343692433993;799.389595086822;18.7428505551235;5.0119;;;
777.832653515413;245.638219334505;6.53534427743459;-7.37859950862757;815.697107799613;17.5260275333859;3.9811;;;
791.840316733113;243.448500356045;4.93082380433133;-12.1063895731996;828.419132764088;17.0898601703308;3.1623;;;
801.050163962432;252.026397003928;3.05314330628013;-15.4427297679377;839.761079099895;17.4646177611676;2.5119;;;
807.016590765871;272.864691589953;0.868165724613613;-17.1099124083218;851.898419817673;18.6811841417617;1.9953;;;
810.845699806586;307.637012092854;-1.58192375202989;-17.4324862720775;867.243495279296;20.7768783263081;1.5849;;;
813.28777290512;358.48936321563;-4.01494246139222;-16.1956201962463;888.792228305197;23.7874199181016;1.2589;;;
814.838816417307;428.264908971561;-6.95207514724319;-14.4469816439737;920.528722526775;27.7256237772411;1;;;
815.821778216449;520.772433117474;-9.82076955911761;-11.8540671277043;967.86832829024;32.5517563460315;0.79433;;;
816.443677540809;640.972828676062;-12.8008351859921;-8.77418128534702;1037.99154413577;38.1347160039751;0.63096;;;
816.836746683253;795.287287771448;-15.5056327172621;-6.18649431162212;1140.04567488454;44.2341659266694;0.50119;;;
817.085026152977;991.942901813521;-18.5520933145015;-3.44538106886559;1285.13760369139;50.5209712518572;0.39811;;;
817.24178859199;1241.41930349574;-21.9872928004035;-1.20070828930768;1486.27252821038;56.6425921818484;0.31623;;;
817.34074230285;1557.00579619691;-25.1851806229351;1.31284616065513;1758.49735240601;62.3030456639715;0.25119;;;
817.403191462457;1955.47907890446;-29.1188257195366;3.17048808825681;2119.44483425402;67.3147497861503;0.19953;;;
817.442605847607;2458.14452865689;-33.3226657027345;4.41343949705276;2590.49936066789;71.6057345240512;0.15849;;;
817.467477459732;3091.76195952826;-37.799854967646;5.8077227107119;3198.00642449173;75.1898021685383;0.12589;;;
817.483168296478;3889.88860110645;-42.9013699739712;6.82925559815268;3974.86000501476;78.1316642049022;0.1;;;
