Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;100000;100.059277462155;2.79314767745986;100.09825513063;1.59899239806159;7.12513598201076
2;79433;100.086811467391;3.01942152304427;100.13234610276;1.72797647277649;8.28015597909462
3;63096;100.160885492103;3.41136107817166;100.218962112805;1.95067233117539;9.59017797578713
4;50119;100.186683568927;3.98067748273964;100.265733716769;2.27531349626153;10.8952019724923
5;39811;100.148502513577;4.75304996182649;100.261228995318;2.71721994527669;12.2102269691721
6;31623;100.166742687514;5.7774323479282;100.333220147474;3.30105715348317;13.4402489660666
7;25119;100.147813716613;7.12331201228651;100.400827517715;4.06848140153368;14.6452729630242
8;19953;100.173316123435;8.83628163575501;100.56228486024;5.04100928149829;15.8752959599187
9;15849;100.158995746791;11.0452948404068;100.766179679083;6.29301383193693;17.1003179568258
10;12589;100.137175157735;13.8261593671157;101.087172932156;7.86124993602524;18.325339953733
11;10000;100.154510980922;17.3453406604107;101.645397891166;9.82535814458361;19.5403639506653
12;7943.3;100.201122773193;21.7908554954219;102.543192793237;12.2691431731149;20.7653869475724
13;6309.6;100.22097634839;27.4026228338255;103.899700858075;15.2921629956245;21.9804089445048
14;5011.9;100.274163717034;34.4537638517972;106.028155471582;18.9624970606539;23.2004299414245
15;3981.1;100.276978960068;43.313200375081;109.231432454627;23.3612364586363;24.4354559383064
16;3162.3;100.327359355842;54.4651697496888;114.157933369427;28.4964088154603;25.6354779352766
17;2511.9;100.377527949141;68.5077217304322;121.527593796121;34.3135594465868;28.5055299280305
18;1995.3;100.493962860366;86.2013955977079;132.399838271703;40.6222286736641;29.6155509252279
19;1584.9;100.517378926582;108.421084771494;147.847472380482;47.1663467947329;30.7855699222739
20;1258.9;100.636479861901;136.44623255486;169.544317089691;53.5892173451242;31.9805939192568
21;1000;100.720183337331;171.631381219745;199.002226999858;59.59387862957;33.1856169162144
22;794.33;100.890786991014;215.925471833953;238.333296638093;64.9557520245197;34.5206419128438
23;630.96;101.007675950544;271.78791611364;289.950378420731;69.6128433452452;35.7056649098519
24;501.19;101.122674945828;341.59216310873;356.245703532689;73.5094890310096;37.7357009047265
25;398.11;101.286161139112;429.690423267445;441.466585695966;76.736419880982;38.8407189019366
26;316.23;101.576516027996;540.930427306919;550.384879693139;79.3647861147869;40.0457418988942
27;251.19;101.94963390652;680.837524858561;688.428255600542;81.4837198464356;41.2757668957887
28;199.53;102.460606299898;856.762024136195;862.866931713861;83.1803567713684;42.4757898927589
29;158.49;103.22223946119;1078.55499737793;1083.48313927273;84.5332035476563;44.5708268874695
30;125.89;104.266195913104;1357.31230803931;1361.31118454422;85.6072722296217;45.7808498844145
31;100;105.627528359443;1707.57465122918;1710.83849742393;86.4602952927665;47.0808718811322
32;79.433;107.621002937719;2149.87139716615;2152.56342638874;87.1342070604808;48.4008978777995
33;63.096;110.855314246613;2704.17286996905;2706.44412677841;87.6525216531992;49.7609218743657
34;50.119;115.680792048869;3404.91831478597;3406.88285328597;88.0541463489029;51.1259488709194
35;39.811;122.970737406356;4284.21430086984;4285.97876546722;88.3558781628662;60.2061158479942
36;31.623;134.616203090803;5393.87978519404;5395.55934628278;88.5703538399978;61.7161428441817
37;25.119;154.681490317979;6784.58419584411;6786.34725562615;88.693941851734;63.2661718402683
38;19.953;180.696502745853;8550.17941390557;8552.08858911548;88.7893112476554;65.0462048357741
39;15.849;222.136967463494;10765.7201038431;10768.0116171281;88.8179420606728;67.6862548291086
40;12.589;297.322511613662;13554.0673165757;13557.3279630677;88.7433592402255;69.4712868246019
41;10;404.771292143801;17068.2211247258;17073.0200070602;88.6414905009127;71.6663268190599
42;7.9433;583.181535407965;21474.8424529941;21482.7595779536;88.4444295499535;73.9113688133917
43;6.3096;846.503412751873;27026.0566932809;27039.310427898;88.2059823939088;76.2164108075721
44;5.0119;1281.36466758516;33988.5412888709;34012.6863737138;87.8409772141616;78.5514558016766
45;3.9811;1951.88272970884;42760.3398390001;42804.8654867331;87.3864317944294;80.8464967958822
46;3.1623;3037.1291545963;53767.8008872402;53853.5102454019;86.7670249012205;83.2965437896964
47;2.5119;4731.23144479926;67550.4769303743;67715.9618148136;85.9935497516212;85.896590783132
48;1.9953;7408.61345445078;84775.6972741143;85098.8037614498;85.0055663324925;88.4416387767063
49;1.5849;11572.0046621877;106268.405658126;106896.610484251;83.7853136734452;91.1016867699904
50;1.2589;18201.3836362445;132910.134331985;134150.639858407;82.2021326963356;93.9417397628199
51;1;28482.474747315;165849.585944695;168277.557997964;80.2552671237992;98.8618327503979
52;0.79433;44241.3081671809;205100.284372858;209817.587437685;77.8274762023231;103.901924737673
53;0.63096;68216.0942688521;251561.713559082;260646.755679173;74.8279399598409;107.236985729253
54;0.50119;103795.200490407;304723.899854628;321916.291584407;71.190105843917;110.907053719987
55;0.39811;154971.732585102;361369.574853635;393197.415467505;66.7881421409328;115.072132709471
56;0.31623;225123.091899196;417458.565228443;474291.113335306;61.6633241370557;119.687215697819
57;0.25119;315296.299127001;464601.815341874;561486.066667863;55.8377063138423;125.052315684273
58;0.19953;421813.715431183;493574.051992584;649262.778331114;49.4824422168963;131.21242966872
59;0.15849;536229.384817385;498521.341704872;732164.927647355;42.912969716342;138.39756365058
60;0.12589;646838.53296617;478433.368649081;804548.678432035;36.4884380607814;146.897719629119
61;0.1;743603.269418116;437057.877093771;862534.295097317;30.4451726451378;157.027910603543
