#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery2_real
#Serial Number: SN:210321A1A021
#Date Time: 2021-05-20 11:05:41.041
#Trace: Trace 1
#Start: 0 Hz
#Stop: 20000 Hz
#BINs: 4097
#Rate: 40000 Hz
#Samples: 8192
#Channel: C1
#Type: Exponential dB Average
#Weight: 150 
#Window: Flat Top
#Channel: C1
#Range: 5.50527 V
#Offset: -0.00024545 V
#Attenuation: 1 X
#Channel: C2
#Range: 5.51558 V
#Offset: -6.09869e-05 V
#Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Noise
#Frequency: 50 kHz
#Period: 20 us
#Amplitude: 4 mV
#Offset: 0 V

Frequency (Hz),Trace 1 (VHz),Phase (deg)
0,2.569174590686054e-05,0
4.8828125,2.58419769137039e-05,169.7833544426693
9.765625,2.148104896337916e-05,167.6680703830696
14.6484375,1.727915920389505e-05,175.9875043961863
19.53125,1.690833055202852e-05,19.85662081726252
24.4140625,1.6818913556862e-05,45.71062117731083
29.296875,1.648276661703372e-05,64.38707139751602
34.1796875,1.644091557637007e-05,79.35179144977883
39.0625,1.675660186714864e-05,92.86890368046468
43.9453125,1.701561480648925e-05,104.330045393347
48.828125,1.675250602136162e-05,113.7764237363017
53.7109375,1.662219380369119e-05,133.886048835144
58.59375,1.695289652915715e-05,41.47081215606104
63.4765625,1.69091199255424e-05,65.39622515377019
68.359375,1.646791304709869e-05,63.28341251598659
73.2421875,1.629016861103233e-05,58.23889923903864
78.125,1.659861491055008e-05,47.96572629998617
83.0078125,1.713860919267591e-05,39.59197162116124
87.890625,1.718843230033983e-05,40.9808088098704
92.7734375,1.721764457485977e-05,51.4150120021675
97.65625,1.72698735304679e-05,141.9958705216025
102.5390625,1.698422398734445e-05,170.9345243544898
107.421875,1.654702494628094e-05,179.1234498923991
112.3046875,1.668381411864477e-05,7.657188534698169
117.1875,1.687328078087006e-05,11.01350993757683
122.0703125,1.727058403997371e-05,26.00674131009993
126.953125,1.71361249889723e-05,56.71930696923723
131.8359375,1.645875359266042e-05,59.42005681745766
136.71875,1.624215258728807e-05,81.28683919910176
141.6015625,1.659061076377509e-05,137.6463883325786
146.484375,1.647183296713136e-05,166.3003107405227
151.3671875,1.582871916291223e-05,169.1894808734436
156.25,1.542562573162877e-05,160.0635849127095
161.1328125,1.546247250529542e-05,144.6083868595342
166.015625,1.595940857404752e-05,128.7718577498702
170.8984375,1.675262696962527e-05,117.4232978110463
175.78125,1.705802060053013e-05,112.3756422395125
180.6640625,1.666975975489134e-05,114.8490236651048
185.546875,1.649567121791824e-05,94.96873665947172
190.4296875,1.669912345389071e-05,97.8423114854758
195.3125,1.65991138430551e-05,99.18424354971974
200.1953125,1.67277303965321e-05,7.09300314556939
205.078125,1.712672638436033e-05,12.02438512118631
209.9609375,1.710881698939069e-05,178.7629435688528
214.84375,1.668578388822777e-05,165.562742322328
219.7265625,1.668329681543386e-05,150.2092159005308
224.609375,1.629096018907082e-05,128.3175673577575
229.4921875,1.569021898331239e-05,112.4256673414423
234.375,1.538489501026838e-05,103.2608016021472
239.2578125,1.565318744823179e-05,91.48411993969026
244.140625,1.592626662517516e-05,94.82633589410403
249.0234375,1.61695572864089e-05,99.81716839111908
253.90625,1.631479590359239e-05,95.98701257715848
258.7890625,1.584438338956845e-05,86.28720690935941
263.671875,1.524228651250084e-05,4.313940836540096
268.5546875,1.555687610489374e-05,125.6011737330075
273.4375,1.612183945753984e-05,135.1867744711589
278.3203125,1.665760886426436e-05,150.5445019125353
283.203125,1.727274752054311e-05,65.53236166145707
288.0859375,1.690741529473514e-05,114.9732446710503
292.96875,1.615127797942624e-05,102.5032133167789
297.8515625,1.62052027973719e-05,108.1715034600631
302.734375,1.657394848160193e-05,111.2579345085095
307.6171875,1.656728749189561e-05,128.0577209700465
312.5,1.611788589804064e-05,136.0234281145231
317.3828125,1.589688959681026e-05,140.1123932425742
322.265625,1.685972363920468e-05,145.2797043443534
327.1484375,1.751430568622034e-05,136.8730057776966
332.03125,1.690212483110092e-05,127.9585822636563
336.9140625,1.60293375297974e-05,135.6060993844976
341.796875,1.577064522648768e-05,118.5898308176778
346.6796875,1.596082738449472e-05,126.2844905733725
351.5625,1.643794269217327e-05,128.195219248506
356.4453125,1.631583940105973e-05,134.5564561210651
361.328125,1.624138046101221e-05,141.972159749954
366.2109375,1.684302701029146e-05,150.641605339575
371.09375,1.715899087910908e-05,161.1952405347704
375.9765625,1.717840820262891e-05,2.933398636323089
380.859375,1.682388524701555e-05,32.26540243441152
385.7421875,1.625081277503538e-05,52.17113311678001
390.625,1.654745710196139e-05,71.4681635619213
395.5078125,1.715800656772885e-05,101.1790636813777
400.390625,1.732692396507426e-05,126.1206974239502
405.2734375,1.697964485767035e-05,126.5891441657334
410.15625,1.644300099572072e-05,124.507626305425
415.0390625,1.596730610364999e-05,123.7442228927522
419.921875,1.600055615738679e-05,74.76494705723194
424.8046875,1.62976147625184e-05,145.8055706773721
429.6875,1.678994073474856e-05,149.4850346422912
434.5703125,1.669112331724638e-05,19.07446917300194
439.453125,1.637973561388939e-05,74.16809430343595
444.3359375,1.656036779982171e-05,68.61380516082964
449.21875,1.629328444447261e-05,41.51934409944216
454.1015625,1.608246116874095e-05,12.71934430460973
458.984375,1.6475272814426e-05,167.2511018861225
463.8671875,1.698247314538433e-05,166.3930833599366
468.75,1.697107107990358e-05,5.095948297934497
473.6328125,1.724304237301288e-05,52.42335343329444
478.515625,1.719507087825606e-05,69.28001245050521
483.3984375,1.684714331927165e-05,78.23531215411978
488.28125,1.637413632044834e-05,174.5731969992461
493.1640625,1.600811203067921e-05,131.7875638742493
498.046875,1.594272561791675e-05,125.6928400529602
502.9296875,1.65847283400392e-05,120.4307496166687
507.8125,1.722939168019027e-05,111.8693242022906
512.6953125,1.729756343438408e-05,91.3227966309999
517.578125,1.727270433331365e-05,75.53042264009423
522.4609375,1.710707065154319e-05,72.35192151390747
527.34375,1.703632617494245e-05,75.68338947615979
532.2265625,1.714292865207198e-05,74.28808329763095
537.109375,1.675338182898753e-05,50.45469452202505
541.9921875,1.671867391767345e-05,10.01704581421833
546.875,1.681855875419766e-05,2.500393623843358
551.7578125,1.691457915775607e-05,2.576562738149286
556.640625,1.686435720486692e-05,162.5945603530735
561.5234375,1.706450216936635e-05,106.5214011778367
566.40625,1.741775009696814e-05,88.0912691972545
571.2890625,1.734349583984995e-05,97.5433140924209
576.171875,1.749229913948153e-05,116.2792729448535
581.0546875,1.739833357511415e-05,98.11198073127628
585.9375,1.679540027083683e-05,155.1850395612087
590.8203125,1.615351154865357e-05,155.3445999864205
595.703125,1.59056420102046e-05,154.8982259082767
600.5859375,1.622599166593691e-05,146.0521042496576
605.46875,1.610238491974178e-05,115.9439074275588
610.3515625,1.623344205111972e-05,78.71577973023963
615.234375,1.693156329434426e-05,61.26864693920599
620.1171875,1.754839583861509e-05,52.50866316785014
625,1.798231509289594e-05,43.19556355399532
629.8828125,1.790771349303462e-05,38.18896496517157
634.765625,1.766740938503683e-05,39.75508430730213
639.6484375,1.729635806858725e-05,47.00386885068096
644.53125,1.711351585538128e-05,93.20180753799771
649.4140625,1.737616247155162e-05,162.7991428041144
654.296875,1.753703595662165e-05,163.1216598822368
659.1796875,1.685944896071468e-05,151.3189739451565
664.0625,1.636984102087258e-05,139.8478507209131
668.9453125,1.61471955589024e-05,133.9839260634386
673.828125,1.609472713668383e-05,142.7640354954564
678.7109375,1.651350051403194e-05,163.7772664239963
683.59375,1.623535298021001e-05,2.720087440382573
688.4765625,1.610569260340699e-05,16.93453612847748
693.359375,1.649716485727255e-05,34.82853582626281
698.2421875,1.711193215905018e-05,64.33307604499387
703.125,1.751560128308553e-05,102.7917840161003
708.0078125,1.669805609407694e-05,166.7429554347961
712.890625,1.611872918068751e-05,46.98098863162485
717.7734375,1.653479579672876e-05,146.7026572316124
722.65625,1.711439870469013e-05,130.593562427535
727.5390625,1.680621312908966e-05,158.2811988114393
732.421875,1.655850670902035e-05,158.2885859460377
737.3046875,1.64918452940076e-05,145.2619679827805
742.1875,1.628335836090667e-05,84.06216722788589
747.0703125,1.627404507803595e-05,143.3821033255552
751.953125,1.594158730193383e-05,111.7731516167462
756.8359375,1.600510513621497e-05,73.90736464618365
761.71875,1.62174316442049e-05,67.43286317814993
766.6015625,1.599027878644105e-05,58.82157101636679
771.484375,1.573111895927937e-05,22.89352908521656
776.3671875,1.589128546751977e-05,164.2778519685776
781.25,1.600513861960993e-05,141.8300154973687
786.1328125,1.590029798413919e-05,134.3684156885228
